titulo,link,descricao,noticia
"Méliuz, PetroRio e Localiza estão no resumo da Guide",https://www.ultimoinstante.com.br/corretoras/meliuz-petrorio-e-localiza-estao-no-resumo-da-guide/367440/,"A equipe de Guide Investimentos escolheu para esta sexta-feira (30/07) avaliar os resultados das empresas brasileiras, bem como aquisições entre outras medidas. Acompanhe Localiza (RENT3): A Localiza (RENT3) reportou um acréscimo em sua receita líquida neste trimestre de 71,7% em comparação ao mesmo período do ano passado, o que totalizou R$ 2,7 bilhões, fruto de [&#8230;]",
BR Distribuidora aprova pagamento de Juros sobre o Capital Próprio,https://financenews.com.br/2021/07/br-distribuidora-aprova-pagamento-de-juros-sobre-o-capital-proprio-2/,  &#160; &#160; Publicado às 20h59 &#160; &#160; A BR Distribuidora (BRDT3) aprovou o pagamento [&#8230;],"Publicado às 20h59    A BR Distribuidora (BRDT3) aprovou o pagamento de Juros sobre o Capital Próprio (JCP) referente ao exercício de 2021. A informação foi divulgada na noite desta quinta-feira, 29.Foi aprovado o pagamento do valor total estimado em aproximadamente R$ 554 milhões, com um primeiro pagamento de R$ 388.727.989,50 milhões, a ser realizado em setembro/2021 e um pagamento complementar estimado em aproximadamente R$166 milhões a ser realizado em dezembro/2021.  Para a primeira parcela, o montante bruto da antecipação será de R$ 388.727.989,50, correspondentes a R$ 0,33367209399 por ação, que será efetuado no dia 29 de setembro de 2021, com base na posição acionária do dia 13 de setembro 2021 (inclusive).  As ações de emissão da companhia passarão a ser negociadas ex-juros sobre capital próprio, dessa primeira parcela, a partir de 14 de setembro de 2021.  Desse valor ainda será deduzido o valor relativo ao Imposto de Renda Retido na Fonte (IRRF). “Em relação à segunda parcela, o valor exato assim como a data base da posição acionária serão objeto de nova comunicação ao mercado tão logo seja conhecida a TJLP aplicada ao 4T21”, afirmou a BR.    Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/J8Z1fpivf2u0F9JnA9ElVKTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Usiminas reporta lucro líquido de R$ 4,5 bilhões",https://financenews.com.br/2021/07/usiminas-reporta-lucro-liquido-de-r-45-bilhoes/,"Publicado às 8h10 &#160; Usiminas reporta lucro líquido de R$ 4,5 bilhões A Usiminas (USIM5) [&#8230;]","Publicado às 8h10  Usiminas reporta lucro líquido de R$ 4,5 bilhõesA Usiminas (USIM5) divulgou nesta sexta-feira, 30, os resultados do segundo trimestre do exercício de 2021 (2T21).  No 2T21, a companhia registrou lucro líquido de R$ 4,5 bilhões, 277% superior ao lucro líquido apresentado no trimestre anterior (1T21: R$ 1,2 bilhão), representando o maior lucro líquido trimestral da Usiminas, principalmente devido ao maior resultado operacional, bem como o reconhecimento de créditos fiscais e ganhos cambiais líquidas no trimestre, ante perdas cambiais 1T21.  O EBITDA Ajustado alcançou R$5,1 bilhões no 2T21, 109,3% superior ao registrado no 1T21 (R$2,4 bilhões), EBITDA recorde. A margem EBITDA Ajustado foi de 52,8% no 2T21, frente a margem de 34,2% no 1T21.  Os principais efeitos não recorrentes no 2T21 somaram R$ 1,5 bilhão e são relativos à exclusão do ICMS na base de cálculo do PIS e da COFINS.  Com isso, a Usiminas registrou um EBITDA desconsiderando os efeitos não recorrentes de R$3,5 bilhões (1T21: R$2,4 bilhões).A receita líquida do 2T21 alcançou R$9,6 bilhões, elevação de 35,8% em relação ao 1T21 (R$7,1 bilhões), representando a maior receita líquida trimestral da Usiminas, com alta da receita líquida em todas as unidades de negócio e destaque para a Unidade de Siderurgia (+R$2,0 bilhões vs. 1T21).ProjeçõesA Usiminas atualizou suas projeções dos seguintes itens:  -investimentos na Unidade de Mineração, passando de R$ 90 milhões para R$ 120 milhões no Projeto de Filtragem e Empilhamento a Seco e de R$160 milhões para R$130 milhões em Sustaining, saúde, segurança e meio ambiente, sem alteração no total para essa Unidade ou para os investimentos totais da Usiminas, que permanecem em R$250 milhões e R$1.500 milhões, respectivamente;  -volume de vendas de minério de ferro pela Unidade de Mineração, passando de vendas entre 8,5 e 9,0 milhões de toneladas para 9,0 milhões de toneladas no ano de 2021; e  -despesas financeiras líquidas, passando de R$300 milhões para R$200 milhões para o ano de 2021.Outros detalhes do balanço do 2T21  Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybISTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Ambipar compra 70% do capital social da ControlPar,https://financenews.com.br/2021/07/ambipar-compra-70-do-capital-social-da-controlpar/,&#160; Publicado às 23h48 &#160; A Ambipar Participações e Empreendimentos (AMBP3) informou na noite desta [&#8230;],"Publicado às 23h48  A Ambipar Participações e Empreendimentos (AMBP3) informou na noite desta quinta-feira, 29, que concluiu, nesta data, a aquisição de 70% do capital social da ControlPar Participações, através de sua subsidiária direta Emergência Participações.  A ControlPar é uma holding que controla 6 empresas que atuam em demandas ambientais, focadas na prevenção de acidentes, avaliação e mitigação de riscos e danos ambientais, tais como: Licenciamento Ambiental, Execução de Programas Ambientais, Geotecnologia, Aerolevantamentos, Oceanografia, Hidrografia, Modelagem Computacional, Sistemas de Gerenciamento (Ambiental e Fundiário) e Meio Ambiente Industrial.  Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/J8Z1fpivf2u0F9JnA9ElVKTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Méliuz compra a Alter, especializada na negociação de criptoativos",https://financenews.com.br/2021/07/meliuz-compra-a-alter-especializada-na-negociacao-de-criptoativos/,"&#160; &#160; Publicado às 22h47 &#160; A Méliuz (CASH3) informou na noite desta quinta-feira, 29, [&#8230;]","Publicado às 22h47  A Méliuz (CASH3) informou na noite desta quinta-feira, 29, que assinou contrato com os sócios da Alter Pagamentos para comprar quotas que representam 100% do capital social da empresa.  O valor da transação é de aproximadamente R$ 25,9 milhões.  “Essa aquisição tem como um de seus principais objetivos trazer para o Méliuz um time talentoso de empreendedores e de desenvolvedores, além do conhecimento em um segmento de negócios de alto crescimento que poderá contribuir como uma boa ferramenta de engajamento e atração de novos usuários para a companhia”, destacou a companhia de cashback.  A Alter é uma empresa especializada na negociação de criptoativos, que desde 2018 vem atuando na melhora da experiência dos usuários no uso de criptomoedas em transações financeiras do dia a dia.  A Alter, que possui um time de 24 pessoas, sendo 9 do time de produto e desenvolvimento, movimentou no primeiro semestre de 2021 um volume de R$ 184 milhões em negociações de Bitcoin, um volume 14 vezes maior do que o mesmo período de 2020.  Entre outros serviços, a Alter consolida em um único aplicativo uma carteira de criptomoedas com integração a uma conta digital e um cartão pré-pago.        Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybISTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Rápidas: Vale, siderúrgicas, Méliuz, Localiza, Aura Minerals, BR, Grendene, Fleury e Intelbras",https://financenews.com.br/2021/07/rapidas-vale-siderurgicas-meliuz-localiza-aura-minerals-br-grendene-fleury-e-intelbras/,&#160; Publicado às 10h48 &#160; Vale e siderúrgicas As ações da Vale (VALE3) e das [&#8230;],"Publicado às 10h48  Vale e siderúrgicasAs ações da Vale (VALE3) e das siderúrgicas CSN, Usiminas e Gerdau têm queda.O minério de ferro teve fortes perdas na China, o que afeta principalmente a Vale e a CSN. O governo chinês impôs maior regulação e pediu que várias cidades estabilizem seus mercados imobiliários, afetando a demanda por aço. As medidas ocorrem em meio aos esforços do governo para frear a poluição.MéliuzAs ações da Méliuz (CASH3) tinham alta de 0,5% às 10h35. A companhia comprou a Alter, especializada na negociação de criptoativos (leia mais aqui).LocalizaOs papéis da Localiza (RENT3) têm queda com o mercado digerindo o balanço da companhia.  Aura MineralsA Aura Minerals (AURA33) retomou as operações em Honduras (leia mais aqui).BR DistribuidoraA BR Distribuidora (BRDT3) aprovou o pagamento de Juros sobre o Capital Próprio. Veja como aproveitar aqui.GrendeneA Grendene (GRND3) anunciou a distribuição de dividendo e a recompra de ações (leia aqui mais detalhes).IntelbrasOs papéis da Intelbras (INTB3) operavam em alta às 10h40. A companhia vai pagar dividendos e JCP (veja aqui como aproveitar).FleuryO Fleury (FLRY3) anunciou o pagamento de JCP (leia aqui). Os papéis tinham queda às 10h41 com os investidores repercutindo o balanço trimestral.IbovespaA queda das ações da Vale, principalmente, pressionam o Ibovespa.   Às 10h47 o índice tinha baixa de 0,68% aos 124.817 pontos.DólarO dólar comercial tinha alta de 0,29% a R$ 5,094 na venda às 10h46.  Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybISTelegramPara notícias entre nesse grupo:  https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo:  https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Assista à análise de Ibov, Petr4, Vale3, Bidi11, Mglu3 e Azul4",https://financenews.com.br/2021/07/assista-a-analise-de-ibov-petr4-vale3-bidi11-mglu3-e-azul4/,"Publicado às 17h45 Dalton Vieira faz a análise do Ibov, Winm21, Wdoq21, Petr4, Vale3, Bidi11, [&#8230;]","Publicado às 17h45Dalton Vieira faz a análise do Ibov, Winm21, Wdoq21, Petr4, Vale3, Bidi11, Mglu3 e Azul4.Assista:"
"Irani lucra R$ 67,7 milhões no 2T21",https://financenews.com.br/2021/07/irani-lucra-r-677-milhoes-no-2t21/,&#160; Publicado às 18h39 &#160; A Irani Papel e Embalagem (RANI3) divulgou na noite desta [&#8230;],"Publicado às 18h39  A Irani Papel e Embalagem (RANI3) divulgou na noite desta sexta-feira, 30 de julho, o resultado do segundo trimestre de 2021 (2T21). A companhia teve lucro líquido de R$ 67,691 milhões no período. No 2T20, o lucro líquido havia sido de R$ 15,298 milhões.O Ebitda Ajustado foi de R$ 119,076 milhões, alta de 114,2% em relação ao apurado no 2T20. A margem Ebitda foi de 29,5%, frente à margem de 23,1% no mesmo período de 2020.A receita líquida somou R$ 403,137 milhões no 2T21, alta de 67,3% quando comparada à do 2T20.        Confira outros dados:  Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybISTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Paranapanema reporta lucro líquido no 2T21,https://financenews.com.br/2021/07/paranapanema-reporta-lucro-liquido-no-2t21/,&#160; &#160; Publicado às 22h &#160; &#160; A Paranapanema (PMAM3) divulgou o resultado do 2T21 [&#8230;],"Publicado às 22h    A Paranapanema (PMAM3) divulgou o resultado do 2T21 na noite desta quinta-feira, 29.O lucro líquido foi de R$ 208,9 milhões no trimestre, impactado positivamente pela variação cambial sobre a dívida da empresa.Com ajustes, a empresa reportou prejuízo líquido de R$ 95,8 milhões.O EBITDA Ajustado somou R$ 22,3 milhões no segundo trimestre de 2021 (2T21), um crescimento de R$ 66,7 milhões em relação ao mesmo período de 2020.Veja mais detalhes na tabela:"
Grendene anuncia distribuição de dividendo e recompra de ações,https://financenews.com.br/2021/07/grendene-anuncia-distribuicao-de-dividendo-e-recompra-de-acoes/,&#160; &#160; Publicado às 18h25 &#160; &#160; Distribuição antecipada de dividendos A Grendene (GRND3) informou [&#8230;],"Publicado às 18h25    Distribuição antecipada de dividendosA Grendene (GRND3) informou após o pregão desta quinta-feira, 29, que seu conselho de administração, em reunião realizada hoje, aprovou a 2ª distribuição antecipada de dividendos referentes ao saldo disponível no período até 30/06/2021, no valor de R$ 33.702.818,19 (trinta e três milhões, setecentos e dois mil, oitocentos e dezoito reais e dezenove centavos).O valor por ação é de R$ 0,037357917 que serão pagos aos acionistas a partir de 18/08/2021.  Terão direito os acionistas titulares de ações ordinárias (GRND3) inscritos nos registros da companhia em 05/08/2021 (data do corte).  Desta forma, as ações GRND3 passarão a ser negociadas ex-dividendo a partir de 06/08/2021.  Resultado trimestralA Grendene divulgou o resultado do 2T21 na noite desta quinta-feira, 29.O lucro líquido recorrente no 2T21 alcançou R$ 39,4 milhões, retração de 22,9% na comparação com o 2T19, quando ficou em R$ 51 milhões. No 2T20, em meio ao forte impacto da pandemia, o lucro recorrente somou R$ 3,1 milhões.“A redução de 21,9% no volume de pares embarcados ante o 2T19, devido à segunda onda da Covid-19, e a pressão de custos das matérias primas foram as principais razões para a queda do lucro líquido”, explicou a companhia.  “No Brasil, a recuperação de junho foi um forte indicativo do que acontece quando as medidas de restrição à circulação e ao comércio desaparecem: os consumidores voltam e voltam com apetite. Diante deste cenário, esperamos, em 2021, crescimento nas vendas e nas margens em comparação aos níveis dos últimos anos”, afirmou a Grendene no release do resultado.Novo programa de aquisição de ações  A companhia anunciou hoje um novo programa de aquisição de ações.Poderão ser compradas até 5 milhões de ações ordinárias correspondentes a 1,86% das ações em circulação.  O início do programa é 30 de julho de 2021 e o término é 20 de janeiro de 2023.Mais detalhes do balanço:  Whatsapp:  Para receber notícias entre no grupo pelo link:https://chat.whatsapp.com/I0mTuRQow33BGqHd6tTStmTelegramPara notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIAPara análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
